TimeStamp,Value
Thu Apr 09 08:41:17 CDT 2015,34
Thu Apr 09 08:41:18 CDT 2015,34
Thu Apr 09 08:41:19 CDT 2015,34
Thu Apr 09 08:41:20 CDT 2015,34
Thu Apr 09 08:41:21 CDT 2015,34
Thu Apr 09 08:41:22 CDT 2015,34
Thu Apr 09 08:41:23 CDT 2015,34
Thu Apr 09 08:41:24 CDT 2015,34
Thu Apr 09 08:41:25 CDT 2015,34
Thu Apr 09 08:41:26 CDT 2015,34
Thu Apr 09 08:41:27 CDT 2015,34
Thu Apr 09 08:41:28 CDT 2015,34
Thu Apr 09 08:41:29 CDT 2015,34
Thu Apr 09 08:41:30 CDT 2015,34
Thu Apr 09 08:41:31 CDT 2015,34
Thu Apr 09 08:41:32 CDT 2015,34
Thu Apr 09 08:41:33 CDT 2015,34
Thu Apr 09 08:41:34 CDT 2015,34
Thu Apr 09 08:41:35 CDT 2015,34
Thu Apr 09 08:41:36 CDT 2015,34
Thu Apr 09 08:41:37 CDT 2015,34
Thu Apr 09 08:41:38 CDT 2015,34
Thu Apr 09 08:41:39 CDT 2015,34
Thu Apr 09 08:41:40 CDT 2015,34
Thu Apr 09 08:41:41 CDT 2015,34
Thu Apr 09 08:41:42 CDT 2015,34
Thu Apr 09 08:41:43 CDT 2015,34
Thu Apr 09 08:41:44 CDT 2015,34
Thu Apr 09 08:41:45 CDT 2015,34
Thu Apr 09 08:41:46 CDT 2015,34
Thu Apr 09 08:41:47 CDT 2015,34
Thu Apr 09 08:41:48 CDT 2015,34
Thu Apr 09 08:41:49 CDT 2015,34
Thu Apr 09 08:41:50 CDT 2015,34
Thu Apr 09 08:41:51 CDT 2015,34
Thu Apr 09 08:41:52 CDT 2015,34
Thu Apr 09 08:41:53 CDT 2015,34
Thu Apr 09 08:41:54 CDT 2015,34
Thu Apr 09 08:41:55 CDT 2015,34
Thu Apr 09 08:41:56 CDT 2015,34
Thu Apr 09 08:41:57 CDT 2015,34
Thu Apr 09 08:41:58 CDT 2015,34
Thu Apr 09 08:41:59 CDT 2015,34
